nome,unidade negocios,cpf_cnpj,marcas,instagram,uf,cidade,regiao,telefone/email,pote de ouro,numero pedido,estagio funil
K Store,LBM,,Farm,https://www.instagram.com/k_stooree/,SP - São Paulo,Andradina,Sudeste,18998254823,Sim,,Novo/Sem Contato
Hilo Boutique,LBM/LM,,"Lança perfume, Calvin Klein, John John, Forum, Animale",https://www.instagram.com/hilo.boutique/,RS - Rio Grande do Sul,Veranopolis,Sul,54999128754,Sim,,Novo/Sem Contato
Sfera Store,LBM/LM,,"Lança perfume, Colcci, Dimy, Calvin Klein, Myft",https://www.instagram.com/sfera.store.oficial/,PR - Paraná,Dois Vizinhos,Sul,46999862261,Sim,,Novo/Sem Contato
Erva doce,LBM,,Lança perfume,https://www.instagram.com/ervadoceloja1/,SC - Santa Catarina,Joinville,Sul,47996525874,Sim,,Novo/Sem Contato
Loja Princesa,LBM,,"Farm, Animale, Osklen",https://www.instagram.com/lojaprincesa/,SC - Santa Catarina,Joinville,Sul,47991499063,Sim,,Novo/Sem Contato
Veste Wolff,LBM/LM,,"Colcci, Morena Rosa, Reserva, Forum, ",https://www.instagram.com/vestewolff/,PR - Paraná,Guaratuba,Sul,41995286690,Sim,,Novo/Sem Contato
Empório da moda,LBM/LM,,"Colcci, Acostamento, Santa Lolla, Levis, Melissa",https://www.instagram.com/_emporio.damoda/,PR - Paraná,Nova Olimpia,Sul,44991377658,Sim,,Novo/Sem Contato
Intuição Moda,LBM,,"Lança perfume, Dimy, Myft, Ellus",https://www.instagram.com/intuicaomodaeperfumaria/,RS - Rio Grande do Sul,Estancia Velha,Sul,5135512073,Sim,,Novo/Sem Contato
Lord All Curves,LBM/LM,,"Colcci, Lança perfume, Farm, Schutz, Acostamento, Aramis, Ellus",https://www.instagram.com/lord_allcurves_/,RN - Rio Grande do Norte,Patu,Nordeste,84996211979,Sim,,Novo/Sem Contato
Isis Parreira Closet,LBM/LM,,"Lança perfume, Myft, John John, Dimy, Lez a Lez",https://www.instagram.com/isisparreiracloset/,GO - Goiás,Goiania,Centro-Oeste,62994559888,Sim,,Novo/Sem Contato
Loja Danusa,LBM,,"Lança perfume, Live, Acostamento, John John, Dudalina",https://www.instagram.com/lojadanusa/,RS - Rio Grande do Sul,Sao Gabriel,Sul,55999386882,Sim,,Novo/Sem Contato
Estrela Da Manhã,LBM,,"Oh Boy, My Place, Puramania",https://www.instagram.com/estreladamanhagurupi/,TO - Tocantins,Gurupi,Centro-Oeste,63992588127,Sim,,Novo/Sem Contato
Marcella Boutique,LBM,,"Farm, Colcci, Animale",https://www.instagram.com/marcella_boutique/,SC - Santa Catarina,Balneario Camboriu,Sul,47991496531,Sim,,Novo/Sem Contato
